駅名,物件名,スポット名,緯度,経度,
敦賀,とろろこんぶ工場,中西昆布,36.0900215,136.221748,https://n-konbu.com/
敦賀,越前ガニ屋,かに喰亭 ますよね,35.6346809,136.0499139,http://restaurant-masuyone.com/
敦賀,越前ガニ屋,魚平,35.6489028,136.0502678,https://uohei.com/
敦賀,越前ガニ屋,地魚料理 まるさん屋,35.646181,136.073668,https://zabassa.co.jp/marusanya
敦賀,越前ガニ屋,伝食（越前かに職人 甲羅組）,35.6454495,136.0506961,https://kouragumi.co.jp/
敦賀,越前ガニ屋,生け簀の甲羅,35.6620129,136.0745978,http://ikesunokoura.com/
敦賀,越前ガニ屋,（株）相木魚問屋,35.6577481,136.0670702,http://www.aiki-uodonya.com/
敦賀,越前ガニ屋,なかや,35.6511605,136.0734052,http://www.nakaya-web.com/
敦賀,若狭フグ屋,ふぐ料理　五作荘,35.4950167,135.5791287,http://fugu-gosaku.com/
敦賀,若狭フグ屋,料理旅館　由幸,35.5407954,135.4731465,https://wakasa-yoshikou.com/
小浜,小鯛のささ漬屋,若狭小浜 丸海 小浜本店,35.4972527,135.7454171,http://www.wakasa-marukai.co.jp/
小浜,小鯛のささ漬屋,ほり川田村長,35.4939241,135.7396341,https://www.tamuracho.co.jp/horikawa/
小浜,小鯛のささ漬屋,まるさん商店,35.646181,136.073668,https://zabassa.co.jp/yabeuodonya
小浜,小鯛のささ漬屋,小浜海産物 若狭小浜丸海 敦賀駅前店,35.6450505,136.0750285,https://obamakaisanbutsu.jp/shop/
小浜,小鯛のささ漬屋,小浜海産物 若狭小浜丸海 小浜本店,35.4972527,135.7454171,https://obamakaisanbutsu.jp/shop/
小浜,若狭カレイ屋,津田孫兵衛 うまし國小浜店,35.4968342,135.7402355,https://kagimago.co.jp/hpgen/HPB/entries/12.html
小浜,若狭カレイ屋,魚屋とび魚,35.5614653,135.8904393,http://tobiuo-net.com/
小浜,若狭カレイ屋,加福鮮魚,35.4951811,135.7424191,https://kabukusengyo.com/
小浜,若狭カレイ屋,若狭小浜お魚センター,35.5010855,135.7410312,https://osakanacenter.com/
小浜,若狭カレイ屋,若狭小浜 丸海 小浜本店,35.4972527,135.7454171,http://www.wakasa-marukai.co.jp/
小浜,若狭カレイ屋,ほり川田村長,35.4939241,135.7396341,https://www.tamuracho.co.jp/horikawa/
小浜,若狭カレイ屋,まるさん商店,35.646181,136.073668,https://zabassa.co.jp/yabeuodonya
小浜,若狭カレイ屋,小浜海産物 若狭小浜丸海 敦賀駅前店,35.6450505,136.0750285,https://obamakaisanbutsu.jp/shop/
小浜,若狭カレイ屋,小浜海産物 若狭小浜丸海 小浜本店,35.4972527,135.7454171,https://obamakaisanbutsu.jp/shop/
小浜,焼きサバ寿司屋,すし政本店,35.4958373,135.7453431,https://sushimasa-wakasaobama.jp/
小浜,焼きサバ寿司屋,若廣,35.500782,135.7397728,https://wakahiro.jp/
小浜,焼きサバ寿司屋,小浜海産物 若狭小浜丸海 敦賀駅前店,35.6450505,136.0750285,https://obamakaisanbutsu.jp/shop/
小浜,焼きサバ寿司屋,小浜海産物 若狭小浜丸海 小浜本店,35.4972527,135.7454171,https://obamakaisanbutsu.jp/shop/
小浜,焼きサバ寿司屋,若狭フィッシャーマンズ・ワーフ,35.5002425,135.7401139,https://www.wakasa-fishermans.com/
小浜,焼きサバ寿司屋,ほり川田村長,35.4939241,135.7396341,https://www.tamuracho.co.jp/horikawa/
小浜,焼きサバ寿司屋,とろさば料理専門店 SABAR 鯖街道 小浜田烏店,35.5378495,135.8353221,https://sabar-obamatagarasu.gorp.jp/
小浜,焼きサバ寿司屋,葛と鯖寿しの店 まる志ん,35.4435656,135.9013075,http://www.eonet.ne.jp/~marushin/index.html
